Name,Symbol,Last Price,Last Price_Currency,Today's price Change - %,Volume,Chart,1-Year Trailing Total Return
4imprint Group PLC,FOUR:LSE,4030,GBX,4.4041450777202069,92540,--,n/a
Aberdeen Group PLC,ABDN:LSE,216.20000000000002,GBX,1.3120899718837915,2538744,--,n/a
Abrdn Diversified Income & Growth plc,ADIG:LSE,28.35,GBX,-1.2195121951219439,1090751,--,n/a
AEW UK REIT Ord,AEWU:LSE,109.80000000000001,GBX,0.36563071297989547,170384,--,n/a
Agronomics Ltd,ANIC:LSE,6.2,GBX,0,1646061,--,n/a
AIB Group PLC,AIBG:LSE,774,GBX,-0.25773195876288657,98968,--,n/a
Altitude Group PLC,ALT:LSE,23,GBX,-2.1276595744680851,25000,--,n/a
Apple Hospitality REIT Inc,APLE:NYQ,12.35,USD,0.8986928104575117,1701863,--,n/a
Aquila European Renewables PLC,AERS:LSE,20.95,GBX,-2.3310023310023311,115856,--,n/a
Ares Capital Corp,ARCC:NSQ,19.15,USD,1.0554089709762495,10797190,--,n/a
Argentex Group PLC *,AGFX:LSE,2.72,GBX,0,0,--,n/a
Ashmore Group PLC,ASHM:LSE,245,GBX,1.744186046511623,870058,--,n/a
Assetco PLC *,ASTO:LSE,36.5,GBX,0,2231576,--,n/a
Augmentum Fintech PLC,AUGM:LSE,88.4,GBX,1.2600229095074553,266524,--,n/a
Aviva PLC,AV.:LSE,655.40000000000009,GBX,1.96017423771004,6361012,--,n/a
Barclays PLC,BARC:LSE,473.8,GBX,1.2501335612779192,41768845,--,n/a
Bayer AG,BAYX.N:GER,43.68,EUR,-4.1579813494240332,5902348,--,n/a
Bellevue Healthcare Trust plc,BBH:LSE,133.8,GBX,-0.59435364041603489,400576,--,n/a
BioPharma Credit PLC,BPCR:LSE,0.93,USD,-1.2738853503184608,1078092,--,n/a
Bioventix PLC,BVXP:LSE,1650,GBX,-1.4925373134328359,6410,--,n/a
BlackRock Latin American Investment Trust Plc,BRLA:LSE,485,GBX,-0.81799591002044991,83138,--,n/a
BRCK Group PLC,BRCK:LSE,50.6,GBX,0.79681274900398114,623573,--,n/a
BTG Consulting PLC,BTG:LSE,118,GBX,-0.4219409282700422,141553,--,n/a
Caledonia Investments Plc,CLDN:LSE,350,GBX,-0.70921985815602839,223411,--,n/a
Card Factory PLC,CARD:LSE,71.3,GBX,0.42253521126760163,9149294,--,n/a
Carrefour SA,CA:PAR,15.31,EUR,0.95614902736565355,2696834,--,n/a
Central Asia Metals PLC,CAML:LSE,226,GBX,1.3452914798206279,449488,--,n/a
Chariot Ltd,CHAR:LSE,1.3800000000000001,GBX,-6.7567567567567473,26302094,--,n/a
Chemring Group PLC,CHG:LSE,510,GBX,-2.2988505747126435,2596629,--,n/a
Chesnara PLC,CSN:LSE,327,GBX,0.61538461538461542,384889,--,n/a
CleanTech Lithium PLC,CTL:LSE,9.2000000000000011,GBX,5.1428571428571548,240593,--,n/a
Close Brothers Group PLC,CBG:LSE,491.20000000000005,GBX,0.40883074407196585,167036,--,n/a
CLS Holdings PLC,CLI:LSE,59.800000000000004,GBX,-0.166944908180291,454424,--,n/a
Cordiant Digital Infrastructure,CORD:LSE,105,GBX,0,1410897,--,n/a
CT Private Equity Trust PLC,CTPE:LSE,520,GBX,-2.6217228464419478,40129,--,n/a
Deltic Energy PLC,DELT:LSE,3.5,GBX,0,103945,--,n/a
Digital 9 Infrastructure PLC,DGI9:LSE,5.34,GBX,0.75471698113207619,1074935,--,n/a
Diverse Income Trust,DIVI:LSE,118,GBX,0.425531914893617,437366,--,n/a
Diversified Energy Co,DEC:LSE,1024,GBX,-1.5384615384615385,47573,--,n/a
DSW Capital PLC,DSW:LSE,57.5,GBX,0,513,--,n/a
Duke Capital Ltd,DUKE:LSE,27.5,GBX,-3.5087719298245612,2882043,--,n/a
Ecora Royalties PLC,ECOR:LSE,139.20000000000002,GBX,0.578034682080933,1079686,--,n/a
EKF Diagnostics Holdings PLC,EKF:LSE,26.3,GBX,-0.75471698113207275,256634,--,n/a
Elixirr International PLC,ELIX:LSE,674,GBX,-2.601156069364162,43213,--,n/a
Eneraqua Technologies PLC *,ETP:LSE,19,GBX,0,73334,--,n/a
Epwin Group PLC *,EPWN:LSE,119.5,GBX,0,0,--,n/a
Essensys PLC,ESYS:LSE,18,GBX,0,500380,--,n/a
FDM Group (Holdings) PLC,FDM:LSE,142.6,GBX,-0.27972027972028368,268178,--,n/a
Flowtech Fluidpower PLC,FLO:LSE,56.900000000000006,GBX,6.9548872180451173,221226,--,n/a
Foresight Environmental Infrastructure Limited,FGEN:LSE,67.2,GBX,-0.884955752212381,1148152,--,n/a
Foresight Solar Fund Ltd,FSFL:LSE,61.7,GBX,1.147540983606562,959510,--,n/a
Frontier IP Group PLC,FIPP:LSE,11.75,GBX,0,44244,--,n/a
Gateley (Holdings) PLC,GTLY:LSE,87.5,GBX,-1.6853932584269662,109471,--,n/a
